ModelNumber;Mass;Height;AnkleHeightCoeff;KneeHeightCoeff;PelvisHeightCoeff;ShoulderHeightCoeff;ShoulderWidthCoeff;ElbowSpanCoeff;WristSpanCoeff;FingerSpanCoeff;FootLengthCoeff;HipWidthCoeff;UmbilicusHeightCoeff;NippleHeightCoeff
1;46.7;1.53;0.03;0.255;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
2;46.7;1.53;0.03;0.255;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
3;46.7;1.53;0.03;0.255;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
4;46.7;1.53;0.03;0.255;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
5;46.7;1.53;0.03;0.255;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
6;46.7;1.53;0.03;0.255;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
7;46.7;1.53;0.03;0.255;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
8;46.7;1.53;0.03;0.255;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
9;46.7;1.53;0.03;0.255;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
10;46.7;1.53;0.03;0.255;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
11;46.7;1.53;0.03;0.255;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
12;46.7;1.53;0.03;0.255;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
13;46.7;1.53;0.03;0.255;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
14;46.7;1.53;0.03;0.255;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
15;46.7;1.53;0.03;0.255;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
16;46.7;1.53;0.03;0.255;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
17;46.7;1.53;0.03;0.255;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
18;46.7;1.53;0.03;0.255;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
19;46.7;1.53;0.03;0.255;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
20;46.7;1.53;0.03;0.255;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
21;46.7;1.53;0.03;0.255;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
22;46.7;1.53;0.03;0.255;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
23;46.7;1.53;0.03;0.255;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
24;46.7;1.53;0.03;0.255;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
25;46.7;1.53;0.03;0.279;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
26;46.7;1.53;0.03;0.279;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
